departamento,valor_adjudicado,fecha_publicacion,estado_adjudicacion,anio_publicacion
DISTRITO CAPITAL DE BOGOTÁ,0,2024-04-17,NO,2024.0
NO DEFINIDO,0,2023-05-05,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-06-16,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,10265416,2025-05-14,SI,2025.0
ATLÁNTICO,0,2024-04-12,NO,2024.0
ANTIOQUIA,0,2024-06-11,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-11-30,NO,2020.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-12,NO,2022.0
CAUCA,0,2020-08-04,NO,2020.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-06-22,NO,2023.0
ANTIOQUIA,0,2021-03-01,NO,2021.0
CAUCA,0,2023-10-20,NO,2023.0
BOYACÁ,0,2023-01-24,NO,2023.0
BOLÍVAR,0,2023-12-25,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-06-22,NO,2022.0
VALLE DEL CAUCA,0,2025-12-10,NO,2025.0
VALLE DEL CAUCA,149999801,2020-11-26,SI,2020.0
MAGDALENA,0,2025-12-05,NO,2025.0
CUNDINAMARCA,0,2023-01-30,NO,2023.0
NO DEFINIDO,0,2025-03-19,NO,2025.0
NO DEFINIDO,0,2025-07-16,NO,2025.0
PUTUMAYO,0,2023-09-25,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2018-02-27,NO,2018.0
SANTANDER,0,2022-01-24,NO,2022.0
ANTIOQUIA,0,2025-02-08,NO,2025.0
PUTUMAYO,0,2023-12-06,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-07-04,NO,2023.0
META,0,2018-01-24,NO,2018.0
AMAZONAS,0,2021-01-27,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-02-12,NO,2024.0
VALLE DEL CAUCA,0,2023-10-12,NO,2023.0
PUTUMAYO,36602261,2020-12-24,SI,2020.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-09-10,NO,2025.0
ANTIOQUIA,0,2024-12-09,NO,2024.0
BOYACÁ,0,2021-05-11,NO,2021.0
QUINDÍO,0,2026-01-23,NO,2026.0
ANTIOQUIA,0,2022-10-19,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-10-19,NO,2022.0
CAUCA,0,2025-04-25,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,225140,2025-05-14,SI,2025.0
BOLÍVAR,0,2024-11-16,NO,2024.0
VAUPÉS,0,2024-09-29,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-01-17,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2018-08-08,NO,2018.0
VALLE DEL CAUCA,0,2024-11-05,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-02-03,NO,2023.0
META,0,2025-07-02,NO,2025.0
NO DEFINIDO,0,2024-01-17,NO,2024.0
NO DEFINIDO,0,2019-02-14,NO,2019.0
NO DEFINIDO,0,2025-07-15,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-05-28,NO,2020.0
