departamento,valor_adjudicado,fecha_publicacion,estado_adjudicacion,anio_publicacion
CESAR,0,2024-08-09,NO,2024.0
HUILA,0,2019-10-04,NO,2019.0
DISTRITO CAPITAL DE BOGOTÁ,3422164000,2020-06-24,SI,2020.0
CALDAS,0,2023-04-08,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-07-26,NO,2025.0
TOLIMA,0,2025-01-22,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-10-26,NO,2022.0
NORTE DE SANTANDER,0,2024-12-31,NO,2024.0
LA GUAJIRA,0,2021-09-13,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-09-21,NO,2022.0
CUNDINAMARCA,0,2022-01-25,NO,2022.0
ANTIOQUIA,0,2025-10-06,NO,2025.0
SANTANDER,9080000,2025-07-03,SI,2025.0
BOLÍVAR,0,2024-05-09,NO,2024.0
ANTIOQUIA,0,2026-02-04,NO,2026.0
CAQUETÁ,0,2024-11-27,NO,2024.0
ANTIOQUIA,0,2022-09-02,NO,2022.0
CUNDINAMARCA,0,2019-01-11,NO,2019.0
CUNDINAMARCA,0,2025-03-06,NO,2025.0
VALLE DEL CAUCA,0,2022-01-18,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-02-17,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-09-30,NO,2025.0
CUNDINAMARCA,0,2024-05-09,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-03-04,NO,2025.0
RISARALDA,0,2023-04-25,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-05-26,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-01-13,NO,2023.0
HUILA,0,2022-12-27,NO,2022.0
META,0,2023-02-23,NO,2023.0
RISARALDA,0,2025-02-18,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-08-17,NO,2020.0
CAUCA,0,2024-08-21,NO,2024.0
BOYACÁ,0,2025-01-29,NO,2025.0
VALLE DEL CAUCA,0,2023-05-15,NO,2023.0
PUTUMAYO,0,2025-02-20,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,11312665,2020-02-10,SI,2020.0
ANTIOQUIA,0,2024-07-22,NO,2024.0
NO DEFINIDO,0,2025-11-08,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-02-02,NO,2023.0
CUNDINAMARCA,0,2024-04-11,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2019-01-23,NO,2019.0
TOLIMA,0,2023-04-21,NO,2023.0
VALLE DEL CAUCA,0,2024-09-11,NO,2024.0
VALLE DEL CAUCA,0,2021-07-26,NO,2021.0
NARIÑO,0,2023-11-29,NO,2023.0
ANTIOQUIA,0,2024-06-05,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-17,NO,2026.0
CUNDINAMARCA,0,2026-01-17,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-10-27,NO,2023.0
CAQUETÁ,0,2021-11-10,NO,2021.0
PUTUMAYO,0,2025-12-12,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-12-10,NO,2025.0
PUTUMAYO,0,2025-04-22,NO,2025.0
PUTUMAYO,0,2023-06-08,NO,2023.0
BOLÍVAR,0,2023-10-30,NO,2023.0
BOLÍVAR,0,2026-01-20,NO,2026.0
CALDAS,0,2023-10-25,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-14,NO,2026.0
